0.11429,0.082143,0.085714,0.082143,0.046429,0,0.028571,0,0.082143,0,0,0,0,0,0,0,0,0.021429,0.021429,0.0071429,0.010714,0,0,0.053571,0.1,0.41786,0.28214,0.38571,0.53214,0.73929,0.53929,0.71429,0.72143,0.79643,0.0071429
0.14815,0.19259,0.13333,0.1,0.12963,0.025926,0.040741,0.055556,0.081481,0,0.018519,0,0,0,0,0,0.022222,0.0037037,0.066667,0.13333,0,0,0.0037037,0.1,0.13333,0.19259,0.28148,0.34444,0.26296,0.56667,0.41111,0.58889,0.72963,0.72222,0
0.94203,0.91304,0.89855,0.89855,0.85507,0.072464,0.55072,0.21739,0.78261,0,0,0,0,0,0,0,0,0,0.13043,0.34783,0.30435,0,0,0,0,0,0,0,0.086957,0.057971,0.3913,0.50725,0.47826,0.50725,0
0.9125,0.925,0.9,0.825,0.9,0.2375,0.45,0.575,0.7,0,0.1875,0,0,0,0,0,0.05,0,0.5875,0.675,0.2625,0,0,0,0,0,0,0,0,0,0.1125,0.1875,0.4,0.2875,0
0,0,0,0.02349,0,0,0,0,0.47651,0,0.063758,0,0.24832,0.09396,0,0,0.33221,0.39597,0.25839,0,0,0,0,0,0,0.25503,0.18792,0.4698,0.71812,0.39262,0.76174,0.23154,0.13087,0.4094,0.53356
0.066667,0.10667,0.02,0.17667,0.076667,0,0,0.073333,0.62667,0,0.19333,0,0.15667,0.21667,0,0,0.66333,0.48333,0.39,0,0,0,0,0,0,0.086667,0.13667,0.36667,0.34667,0.15333,0.60667,0.05,0.073333,0.27,0.39333
0.89492,0.87119,0.80339,0.93559,0.84407,0.39661,0.68814,0.72542,0.98305,0,0.74915,0.11525,0.38983,0,0,0.0033898,0.90847,0.91525,0.80339,0,0.65763,0,0,0,0,0,0,0.0033898,0.0067797,0.0067797,0.067797,0,0,0.030508,0.037288
0.99684,1,0.97468,0.99367,0.98734,0.74367,0.7943,1,1,0.36076,0.91456,0.12342,0.10127,0.13291,0.056962,0.044304,0.98734,0.82595,0.9557,0.30696,0.6962,0.0031646,0.0031646,0.060127,0.10443,0,0,0,0,0,0,0,0,0,0
0.65116,0.53488,0.36047,0.76744,0.56977,0.069767,0.39535,0.46512,0.96512,0,0.43023,0.27907,0.44186,0,0,0,0.90698,0.80233,0.67442,0,0.32558,0,0,0,0,0,0,0.034884,0,0.034884,0.13953,0,0,0.046512,0.093023
0.90909,0.90909,0.83117,0.93506,0.90909,0.54545,0.7013,0.94805,1,0.27273,0.81818,0.22078,0,0.41558,0,0,0.98701,0.81818,0.87013,0.012987,0.53247,0,0,0,0,0,0,0,0,0,0.038961,0,0,0,0
0.26087,0.1913,0.2029,0.53043,0.36812,0.15072,0.22319,0.57681,0.69565,0.063768,0.046377,0.2,0.34203,0.04058,0.049275,0.13623,0.36812,0.48696,0.22899,0,0.13043,0,0,0.072464,0.095652,0.11594,0.037681,0.15942,0.25217,0.36522,0.24058,0.046377,0.031884,0.10725,0.28406
0.2806,0.34328,0.25075,0.57313,0.51343,0.20597,0.21493,0.79403,0.70448,0.13731,0.086567,0.10746,0.10448,0.31642,0.12239,0.13134,0.63582,0.34627,0.43881,0.062687,0.12239,0,0,0.10746,0.13134,0,0.10149,0.20597,0.0059701,0.13731,0.14627,0,0.062687,0.044776,0.0059701
